,train,val,test
0,23G068252-002-1,24G012954-001-1,25G035789-001-1
1,23G068252-002-2,24G012954-001-2,25G035789-001-2
2,23G075065-001-1,24G012954-001-3,25G035789-001-3
3,23G075065-001-2,24G012954-001-4,25G035789-001-4
4,23G075065-001-3,24G012954-001-5,25G051075-001-1
5,23G075065-001-4,24G012954-001-6,25G051075-001-2
6,23G075065-001-5,24G038355-002-1,25G051075-001-3
7,23G075065-001-6,24G038355-002-2,25G051075-001-4
8,23G085500-001-1,23G100152-001-1,24G099680-003-1
9,23G085500-001-2,23G100152-001-2,24G099680-003-2
10,23G085500-001-3,23G100152-001-3,24G099680-003-3
11,23G085500-001-4,23G100152-001-4,24G099680-003-4
12,23G085500-001-5,23G100037-002-1,23G116881-002-1
13,23G092685-001-1,23G100037-002-2,23G116881-002-2
14,23G092685-001-2,24G103891-003-1,23G116881-002-3
15,23G092685-001-3,24G103891-003-2,23G116881-003-1
16,23G092685-001-4,24G103891-003-3,23G116881-003-2
17,23G109760-001-1,24G103891-003-4,23G116881-003-3
18,23G109760-001-2,24G103891-003-5,23G116881-003-4
19,23G109760-001-3,24G042860-003-1,23G116881-003-5
20,23G109760-001-4,24G042860-003-2,23G116881-003-6
21,23G113311-001-1,24G042860-003-3,25G017036-001-1
22,23G113311-001-2,24G042860-003-4,25G017036-001-2
23,23G113311-001-3,24G042860-003-5,25G017036-001-3
24,23G113311-001-4,24G042860-003-6,25G017036-001-4
25,23G113311-001-5,24G072240-001-1,25G107269-002-1
26,23G113311-001-6,24G072240-001-2,25G107269-002-2
27,24G000715-001-1,24G072240-001-3,25G107269-002-3
28,24G000715-001-2,24G072240-001-4,25G107269-002-4
29,24G013161-001-1,25G023717-001-1,25G107269-002-5
30,24G013161-001-2,25G023717-001-2,24G019386-001-1
31,24G013161-001-3,25G023717-001-3,24G019386-001-2
32,24G013161-001-4,25G023717-001-4,24G019386-001-3
33,24G016912-001-1,,24G019386-001-4
34,24G016912-001-2,,24G033428-001-1
35,24G016912-001-3,,24G033428-001-2
36,24G016912-001-4,,24G033428-001-3
37,24G019106-001-1,,24G033428-001-4
38,24G019106-001-2,,24G033428-001-5
39,24G019106-001-3,,
40,24G019106-001-4,,
41,24G019106-001-5,,
42,24G021163-001-1,,
43,24G021163-001-2,,
44,24G021163-001-3,,
45,24G021163-001-4,,
46,24G031191-001-1,,
47,24G031191-001-2,,
48,24G031191-001-3,,
49,24G031191-001-4,,
50,24G037700-001-1,,
51,24G037700-001-2,,
52,24G037700-001-3,,
53,24G037700-001-4,,
54,24G044299-002-1,,
55,24G044299-002-2,,
56,24G044299-002-3,,
57,24G044299-002-4,,
58,24G054539-002-1,,
59,24G054539-002-2,,
60,24G069959-002-1,,
61,24G069959-002-2,,
62,24G069959-002-3,,
63,24G069959-002-4,,
64,24G070697-002-1,,
65,24G070697-002-2,,
66,24G070697-002-3,,
67,24G070697-002-4,,
68,24G094172-001-1,,
69,24G094172-001-2,,
70,24G094172-001-3,,
71,24G094172-001-4,,
72,24G115797-002-1,,
73,24G115797-002-2,,
74,24G117782-003-1,,
75,24G117782-003-2,,
76,24G117782-003-3,,
77,24G117782-003-4,,
78,24G120277-004-1,,
79,24G120277-004-2,,
80,24G120277-004-3,,
81,24G120277-004-4,,
82,24G120277-004-5,,
83,24G121321-001D-1,,
84,24G121321-001D-2,,
85,24G121321-001D-3,,
86,24G121321-001D-4,,
87,24G121321-001D-5,,
88,24G121321-001D-6,,
89,24G124181-001-1,,
90,24G124181-001-2,,
91,24G124181-001-3,,
92,24G124181-001-4,,
93,24G125015-003-1,,
94,24G125015-003-2,,
95,24G125015-003-3,,
96,24G125015-003-4,,
97,25G005067-002-1,,
98,25G005067-002-2,,
99,25G008366-002-1,,
100,25G008366-002-2,,
101,25G008366-002-3,,
102,25G008366-002-4,,
103,25G008366-002-5,,
104,25G008366-003-1,,
105,25G008366-003-2,,
106,25G008366-003-3,,
107,25G008366-003-4,,
108,25G008366-003-5,,
109,25G008366-003-6,,
110,25G010990-002-1,,
111,25G010990-002-2,,
112,25G027985-001-1,,
113,25G027985-001-2,,
114,25G027985-001-3,,
115,25G028295-001-1,,
116,25G028295-001-2,,
117,25G028295-001-3,,
118,25G028295-001-4,,
119,25G046033-002-1,,
120,25G046033-002-2,,
121,25G046033-002-3,,
122,25G046033-002-4,,
123,25G050827-001D-1,,
124,25G050827-001D-2,,
125,25G050827-001D-3,,
126,25G050827-001D-4,,
127,25G064241-001-1,,
128,25G064241-001-2,,
129,25G084572-001-1,,
130,25G084572-001-2,,
131,25G084572-001-3,,
132,25G084572-001-4,,
133,25G088548-001D-1,,
134,25G088548-001D-2,,
135,25G088548-001D-3,,
136,25G088548-001D-4,,
137,25G095565-001-1,,
138,25G095565-001-2,,
139,25G095565-001-3,,
140,25G095565-001-4,,
141,25G096905-001-1,,
142,25G096905-001-2,,
143,25G096905-001-3,,
144,25G098382-002-1,,
145,25G098382-002-2,,
146,25G098473-001-1,,
147,25G098473-001-2,,
148,25G098473-001-3,,
149,25G098473-001-4,,
150,25G120205-001-1,,
151,25G120205-001-2,,
152,25G120205-001-3,,
153,25G120205-001-4,,
154,23G104976-002-1,,
155,23G104976-002-2,,
156,24G002499-002-1,,
157,24G002499-002-2,,
158,24G011777-002-1,,
159,24G011777-002-2,,
160,24G011777-002-3,,
161,24G011777-002-4,,
162,24G011777-002-5,,
163,24G011777-002-6,,
164,24G011777-002-7,,
165,24G027094-001-1,,
166,24G027094-001-2,,
167,24G027094-001-3,,
168,24G027094-001-4,,
169,24G075578-001-1,,
170,24G075578-001-2,,
171,24G075578-001-3,,
172,24G075578-001-4,,
173,24G075578-001-5,,
174,24G079991-001-1,,
175,24G079991-001-2,,
176,24G079991-001-3,,
177,24G087143-001-1,,
178,24G087143-001-2,,
179,24G087143-001-3,,
180,24G087143-001-4,,
181,24G087143-001-5,,
182,24G095750-001-1,,
183,24G095750-001-2,,
184,24G095750-001-3,,
185,24G108632-002-1,,
186,24G108632-002-2,,
187,24G116762-002-1,,
188,24G116762-002-2,,
189,25G004489-001-1,,
190,25G004489-001-2,,
191,25G004489-001-3,,
192,25G004489-001-4,,
193,25G005746-001-1,,
194,25G005746-001-2,,
195,25G005746-001-3,,
196,25G005746-001-4,,
197,25G006622-001-1,,
198,25G006622-001-2,,
199,25G006622-001-3,,
200,25G006622-001-4,,
201,25G012687-001-1,,
202,25G012687-001-2,,
203,25G012687-001-3,,
204,25G012687-001-4,,
205,25G015816-001-1,,
206,25G015816-001-2,,
207,25G015816-001-3,,
208,25G015816-001-4,,
209,25G018780-001-1,,
210,25G018780-001-2,,
211,25G018780-001-3,,
212,25G018780-001-4,,
213,25G022288-002-1,,
214,25G022288-002-2,,
215,25G026128-001-1,,
216,25G026128-001-2,,
217,25G026128-001-3,,
218,25G026128-001-4,,
219,25G031563-001-1,,
220,25G031563-001-2,,
221,25G031563-001-3,,
222,25G060727-002-1,,
223,25G060727-002-2,,
