,train,val,test
0,23G068252-002-1,24G012954-001-1,25G035789-001-1
1,23G068252-002-2,24G012954-001-2,25G035789-001-2
2,23G075065-001-1,24G012954-001-3,25G035789-001-3
3,23G075065-001-2,24G012954-001-4,25G035789-001-4
4,23G075065-001-3,24G012954-001-5,25G035789-002-1
5,23G075065-001-4,24G012954-001-6,25G035789-002-2
6,23G075065-001-5,24G038355-002-1,25G035789-002-3
7,23G075065-001-6,24G038355-002-2,25G035789-002-4
8,23G085500-001-1,23G100152-001-1,25G051075-001-1
9,23G085500-001-2,23G100152-001-2,25G051075-001-2
10,23G085500-001-3,23G100152-001-3,25G051075-001-3
11,23G085500-001-4,23G100152-001-4,25G051075-001-4
12,23G085500-001-5,23G100037-002-1,24G099680-003-1
13,23G092685-001-1,23G100037-002-2,24G099680-003-2
14,23G092685-001-2,24G103891-003-1,24G099680-003-3
15,23G092685-001-3,24G103891-003-2,24G099680-003-4
16,23G092685-001-4,24G103891-003-3,23G116881-002-1
17,23G109760-001-1,24G103891-003-4,23G116881-002-2
18,23G109760-001-2,24G103891-003-5,23G116881-002-3
19,23G109760-001-3,24G042860-003-1,23G116881-003-1
20,23G109760-001-4,24G042860-003-2,23G116881-003-2
21,23G113311-001-1,24G042860-003-3,23G116881-003-3
22,23G113311-001-2,24G042860-003-4,23G116881-003-4
23,23G113311-001-3,24G042860-003-5,23G116881-003-5
24,23G113311-001-4,24G042860-003-6,23G116881-003-6
25,23G113311-001-5,24G072240-001-1,25G017036-001-1
26,23G113311-001-6,24G072240-001-2,25G017036-001-2
27,24G000715-001-1,24G072240-001-3,25G017036-001-3
28,24G000715-001-2,24G072240-001-4,25G017036-001-4
29,24G013161-001-1,25G023717-001-1,25G107269-002-1
30,24G013161-001-2,25G023717-001-2,25G107269-002-2
31,24G013161-001-3,25G023717-001-3,25G107269-002-3
32,24G013161-001-4,25G023717-001-4,25G107269-002-4
33,24G016912-001-1,,25G107269-002-5
34,24G016912-001-2,,24G019386-001-1
35,24G016912-001-3,,24G019386-001-2
36,24G016912-001-4,,24G019386-001-3
37,24G019106-001-1,,24G019386-001-4
38,24G019106-001-2,,24G033428-001-1
39,24G019106-001-3,,24G033428-001-2
40,24G019106-001-4,,24G033428-001-3
41,24G019106-001-5,,24G033428-001-4
42,24G021163-001-1,,24G033428-001-5
43,24G021163-001-2,,
44,24G021163-001-3,,
45,24G021163-001-4,,
46,24G031191-001-1,,
47,24G031191-001-2,,
48,24G031191-001-3,,
49,24G031191-001-4,,
50,24G037700-001-1,,
51,24G037700-001-2,,
52,24G037700-001-3,,
53,24G037700-001-4,,
54,24G044299-002-1,,
55,24G044299-002-2,,
56,24G044299-002-3,,
57,24G044299-002-4,,
58,24G054539-002-1,,
59,24G054539-002-2,,
60,24G069959-002-1,,
61,24G069959-002-2,,
62,24G069959-002-3,,
63,24G069959-002-4,,
64,24G070697-002-1,,
65,24G070697-002-2,,
66,24G070697-002-3,,
67,24G070697-002-4,,
68,24G094172-001-1,,
69,24G094172-001-2,,
70,24G094172-001-3,,
71,24G094172-001-4,,
72,24G115797-002-1,,
73,24G115797-002-2,,
74,24G117782-003-1,,
75,24G117782-003-2,,
76,24G117782-003-3,,
77,24G117782-003-4,,
78,24G120277-004-1,,
79,24G120277-004-2,,
80,24G120277-004-3,,
81,24G120277-004-4,,
82,24G120277-004-5,,
83,24G121321-001-1,,
84,24G121321-001-2,,
85,24G121321-001-3,,
86,24G121321-001-4,,
87,24G121321-001D-1,,
88,24G121321-001D-2,,
89,24G121321-001D-3,,
90,24G121321-001D-4,,
91,24G121321-001D-5,,
92,24G121321-001D-6,,
93,24G124181-001-1,,
94,24G124181-001-2,,
95,24G124181-001-3,,
96,24G124181-001-4,,
97,24G125015-003-1,,
98,24G125015-003-2,,
99,24G125015-003-3,,
100,24G125015-003-4,,
101,25G005067-002-1,,
102,25G005067-002-2,,
103,25G008366-002-1,,
104,25G008366-002-2,,
105,25G008366-002-3,,
106,25G008366-002-4,,
107,25G008366-002-5,,
108,25G008366-003-1,,
109,25G008366-003-2,,
110,25G008366-003-3,,
111,25G008366-003-4,,
112,25G008366-003-5,,
113,25G008366-003-6,,
114,25G010990-002-1,,
115,25G010990-002-2,,
116,25G027985-001-1,,
117,25G027985-001-2,,
118,25G027985-001-3,,
119,25G028295-001-1,,
120,25G028295-001-2,,
121,25G028295-001-3,,
122,25G028295-001-4,,
123,25G046033-002-1,,
124,25G046033-002-2,,
125,25G046033-002-3,,
126,25G046033-002-4,,
127,25G050827-001-1,,
128,25G050827-001-2,,
129,25G050827-001-3,,
130,25G050827-001-4,,
131,25G050827-001D-1,,
132,25G050827-001D-2,,
133,25G050827-001D-3,,
134,25G050827-001D-4,,
135,25G064241-001-1,,
136,25G064241-001-2,,
137,25G064241-002-1,,
138,25G064241-002-2,,
139,25G084572-001-1,,
140,25G084572-001-2,,
141,25G084572-001-3,,
142,25G084572-001-4,,
143,25G088548-001-1,,
144,25G088548-001-2,,
145,25G088548-001-3,,
146,25G088548-001-4,,
147,25G088548-001D-1,,
148,25G088548-001D-2,,
149,25G088548-001D-3,,
150,25G088548-001D-4,,
151,25G095565-001-1,,
152,25G095565-001-2,,
153,25G095565-001-3,,
154,25G095565-001-4,,
155,25G096905-001-1,,
156,25G096905-001-2,,
157,25G096905-001-3,,
158,25G098382-002-1,,
159,25G098382-002-2,,
160,25G098473-001-1,,
161,25G098473-001-2,,
162,25G098473-001-3,,
163,25G098473-001-4,,
164,25G120205-001-1,,
165,25G120205-001-2,,
166,25G120205-001-3,,
167,25G120205-001-4,,
168,23G104976-002-1,,
169,23G104976-002-2,,
170,24G002499-002-1,,
171,24G002499-002-2,,
172,24G011777-002-1,,
173,24G011777-002-2,,
174,24G011777-002-3,,
175,24G011777-002-4,,
176,24G011777-002-5,,
177,24G011777-002-6,,
178,24G011777-002-7,,
179,24G027094-001-1,,
180,24G027094-001-2,,
181,24G027094-001-3,,
182,24G027094-001-4,,
183,24G075578-001-1,,
184,24G075578-001-2,,
185,24G075578-001-3,,
186,24G075578-001-4,,
187,24G075578-001-5,,
188,24G079991-001-1,,
189,24G079991-001-2,,
190,24G079991-001-3,,
191,24G079991-002-1,,
192,24G079991-002-2,,
193,24G079991-002-3,,
194,24G079991-002-4,,
195,24G087143-001-1,,
196,24G087143-001-2,,
197,24G087143-001-3,,
198,24G087143-001-4,,
199,24G087143-001-5,,
200,24G095750-001-1,,
201,24G095750-001-2,,
202,24G095750-001-3,,
203,24G108632-002-1,,
204,24G108632-002-2,,
205,24G116762-002-1,,
206,24G116762-002-2,,
207,25G004489-001-1,,
208,25G004489-001-2,,
209,25G004489-001-3,,
210,25G004489-001-4,,
211,25G005746-001-1,,
212,25G005746-001-2,,
213,25G005746-001-3,,
214,25G005746-001-4,,
215,25G006622-001-1,,
216,25G006622-001-2,,
217,25G006622-001-3,,
218,25G006622-001-4,,
219,25G012687-001-1,,
220,25G012687-001-2,,
221,25G012687-001-3,,
